acceptance_id,requirement_id,section_ref,applies_to,evidence_type,test_path,fixture,scenario,expected_assertion,release_blocker
HSD-ACC-FND-001,HSD-REQ-FND-001,"§1,§5",txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-001.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-001/,v1.0 full CI／105 acceptance,全綠，v1.1 不破壞既有 MD,true
HSD-ACC-FND-002,HSD-REQ-FND-002,§1-2,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-002.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-002/,plugin display rename,UI 顯示 Hans SafeDoc；plugin ID、data、command、PB Token 相容,true
HSD-ACC-FND-003,HSD-REQ-FND-003,§9,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-003.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-003/,Source adapter API audit,無 write／rename／delete；來源 hash、size、mtime 不變,true
HSD-ACC-FND-004,HSD-REQ-FND-004,§10,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-004.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-004/,Source changes at four recheck points,bytes 變更使目前單一來源文件與受影響 Entity 決策失效並回 SCANNING；mtime-only 且 hash 相同則保留決策並 Audit,true
HSD-ACC-FND-005,HSD-REQ-FND-005,§8-9,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-005.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-005/,Preview tampered independently,正式輸出不受 preview DOM／model 影響,true
HSD-ACC-FND-006,HSD-REQ-FND-006,"§10,§19",txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-006.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-006/,Cancel／lock／close／unload,plaintext、preview、object URL、staging、未提交 mutation 清除；已認證加密 checkpoint 保留,true
HSD-ACC-FND-007,HSD-REQ-FND-007,§20,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-007.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-007/,Denied network runtime,四格式完整流程零 socket attempt,true
HSD-ACC-FND-008,HSD-REQ-FND-008,§18,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-008.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-008/,Artifact native open path attack,realpath／hash／extension 驗證阻擋越界與 stale artifact,true
HSD-ACC-FND-009,HSD-REQ-FND-009,"§5,§26",txt|csv|docx|xlsx,manual,tests/manual/evidence/hsd-acc-fnd-009.md,tests/fixtures/formats/fnd/hsd-acc-fnd-009/,Base product Alpha Gates audit,安全還原、客戶字典、正式 Residual、PB-PERF、跨平台、無障礙與獨立安全審查皆有新鮮證據；105 Acceptance 不作替代,true
HSD-ACC-FND-010,HSD-REQ-FND-010,§16,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-010.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-010/,crash at every two-phase transaction boundary,package／Mapping／Audit 原子恢復或一起 rollback，不出現可用但不可還原 artifact,true
HSD-ACC-FND-011,HSD-REQ-FND-011,"§1,§23",txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-011.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-011/,v1.0／v1.1 reader-writer matrix,v1.0 Job byte-identical；v1.0 plugin 不列舉 v11 namespace；AAD／minimum version mismatch 拒絕,true
HSD-ACC-FND-012,HSD-REQ-FND-012,§23.3,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-012.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-012/,v1.0 Result JSON／Result Vault restore regression,v1.1 不新增同格式 restore；既有合法狀態與還原行為 byte-compatible,true
HSD-ACC-FND-013,HSD-REQ-FND-013,§17,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-013.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-013/,decision-aware residual,explicit retained／manual media 可追溯；漏改、unknown part、錯 locator 一律阻擋,true
HSD-ACC-FND-014,HSD-REQ-FND-014,§23.1,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-014.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-014/,v1.1 Job → downgrade v1.0 → delete v1.0 Client → upgrade v1.1,獨立 `client-v11.key` 仍可解密 v1.1 Job；v1.0 deletion 不破壞 v11；v1.1 才能完整刪除,true
HSD-ACC-FND-015,HSD-REQ-FND-015,"§9.5,§17",txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-015.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-015/,mixed tokenized／retained／duplicate occurrences in one surface,source→artifact delta map、occurrence fingerprint 與 ArtifactLocatorV11 無 collision，逐筆 residual 可證明,true
HSD-ACC-FND-016,HSD-REQ-FND-016,§18,txt|csv|docx|xlsx,hybrid,tests/formats/acceptance/hsd-acc-fnd-016.test.ts;tests/manual/evidence/hsd-acc-fnd-016.md,tests/fixtures/formats/fnd/hsd-acc-fnd-016/,inspection copy symlink／reparse／pre-open replacement,O_EXCL／no-follow／current-user-only／copy hash／last-moment hash 可偵測檢查前置換；同帳號惡意程序的檢查後 path race 明文不在 v1.1 保證範圍,true
HSD-ACC-FND-017,HSD-REQ-FND-017,§15,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-017.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-017/,safe filename／output path／collision,opaque filename、Vault／Secure Store／network root 拒絕、sequence 無覆寫、Safe Package 無絕對路徑,true
HSD-ACC-FND-018,HSD-REQ-FND-018,§22,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-fnd-018.test.ts,tests/fixtures/formats/fnd/hsd-acc-fnd-018/,error／log／Notice privacy,錯誤回答發生事項與下一步，但不顯示原文、完整 path、完整 Token 或 secrets,true
HSD-ACC-PDF-001,HSD-REQ-PDF-001,§6,pdf-agent|md,hybrid,tests/formats/acceptance/hsd-acc-pdf-001.test.ts;tests/manual/evidence/hsd-acc-pdf-001.md,tests/fixtures/formats/pdf/hsd-acc-pdf-001/,文字型多頁 PDF → MD,本機抽取，頁面覆蓋紀錄完整，PDF 不進 Vault,true
HSD-ACC-PDF-002,HSD-REQ-PDF-002,§6,pdf-agent|md,hybrid,tests/formats/acceptance/hsd-acc-pdf-002.test.ts;tests/manual/evidence/hsd-acc-pdf-002.md,tests/fixtures/formats/pdf/hsd-acc-pdf-002/,掃描頁／空白頁混合,OCR／人工確認逐頁閉環，未處理頁阻擋,true
HSD-ACC-PDF-003,HSD-REQ-PDF-003,§6,pdf-agent|md,automated,tests/formats/acceptance/hsd-acc-pdf-003.test.ts,tests/fixtures/formats/pdf/hsd-acc-pdf-003/,嘗試線上轉檔／LLM 摘要,推薦流程拒絕，不標記完成,true
HSD-ACC-PDF-004,HSD-REQ-PDF-004,§6,pdf-agent|md,hybrid,tests/formats/acceptance/hsd-acc-pdf-004.test.ts;tests/manual/evidence/hsd-acc-pdf-004.md,tests/fixtures/formats/pdf/hsd-acc-pdf-004/,Hans SafeDoc 選擇 Vault 外原始 MD,原始 MD 不複製進 Vault；Vault 外完成掃描與安全輸出，只有安全 MD 可由使用者／Agent 匯入知識庫,true
