package,part_pattern,content_type,cardinality,policy
docx,[Content_Types].xml,N/A,exactly-1,ALLOW_CONTROL
docx,_rels/.rels,application/vnd.openxmlformats-package.relationships+xml,exactly-1,ALLOW_RELS
docx,docProps/core.xml,application/vnd.openxmlformats-package.core-properties+xml,0-or-1,ALLOW_SCAN
docx,docProps/app.xml,application/vnd.openxmlformats-officedocument.extended-properties+xml,0-or-1,ALLOW_SCAN
docx,docProps/custom.xml,application/vnd.openxmlformats-officedocument.custom-properties+xml,0-or-1,ALLOW_SCAN
docx,word/document.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.document.main+xml,exactly-1,ALLOW_SCAN
docx,word/_rels/document.xml.rels,application/vnd.openxmlformats-package.relationships+xml,exactly-1,ALLOW_RELS
docx,word/styles.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.styles+xml,0-or-1,ALLOW_STRUCTURE_SCAN_NAMES
docx,word/settings.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.settings+xml,0-or-1,ALLOW_STRUCTURE
docx,word/fontTable.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.fontTable+xml,0-or-1,ALLOW_STRUCTURE
docx,word/numbering.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.numbering+xml,0-or-1,ALLOW_STRUCTURE_SCAN_NAMES
docx,word/theme/theme1.xml,application/vnd.openxmlformats-officedocument.theme+xml,0-or-1,ALLOW_STRUCTURE_SCAN_NAMES

docx,word/headerN.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.header+xml,0-to-many,ALLOW_SCAN
docx,word/footerN.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.footer+xml,0-to-many,ALLOW_SCAN
docx,word/footnotes.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.footnotes+xml,0-or-1,ALLOW_SCAN
docx,word/endnotes.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.endnotes+xml,0-or-1,ALLOW_SCAN
docx,word/comments.xml,application/vnd.openxmlformats-officedocument.wordprocessingml.comments+xml,0-or-1,ALLOW_SCAN
docx,word/_rels/headerN.xml.rels,application/vnd.openxmlformats-package.relationships+xml,0-or-1,ALLOW_RELS
docx,word/_rels/footerN.xml.rels,application/vnd.openxmlformats-package.relationships+xml,0-or-1,ALLOW_RELS
docx,word/_rels/footnotes.xml.rels,application/vnd.openxmlformats-package.relationships+xml,0-or-1,ALLOW_RELS
docx,word/_rels/endnotes.xml.rels,application/vnd.openxmlformats-package.relationships+xml,0-or-1,ALLOW_RELS
docx,word/_rels/comments.xml.rels,application/vnd.openxmlformats-package.relationships+xml,0-or-1,ALLOW_RELS
docx,word/media/<opaque>.png,image/png,0-to-200,ALLOW_MANUAL_MEDIA
docx,word/media/<opaque>.jpg,image/jpeg,0-to-200,ALLOW_MANUAL_MEDIA
docx,word/media/<opaque>.jpeg,image/jpeg,0-to-200,ALLOW_MANUAL_MEDIA
xlsx,[Content_Types].xml,N/A,exactly-1,ALLOW_CONTROL
xlsx,_rels/.rels,application/vnd.openxmlformats-package.relationships+xml,exactly-1,ALLOW_RELS
xlsx,docProps/core.xml,application/vnd.openxmlformats-package.core-properties+xml,0-or-1,ALLOW_SCAN
xlsx,docProps/app.xml,application/vnd.openxmlformats-officedocument.extended-properties+xml,0-or-1,ALLOW_SCAN
xlsx,docProps/custom.xml,application/vnd.openxmlformats-officedocument.custom-properties+xml,0-or-1,ALLOW_SCAN
xlsx,xl/workbook.xml,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml,exactly-1,ALLOW_SCAN_BLOCK_NAMES
xlsx,xl/_rels/workbook.xml.rels,application/vnd.openxmlformats-package.relationships+xml,exactly-1,ALLOW_RELS
xlsx,xl/worksheets/sheetN.xml,application/vnd.openxmlformats-officedocument.spreadsheetml.worksheet+xml,1-to-100,ALLOW_SCAN
xlsx,xl/worksheets/_rels/sheetN.xml.rels,application/vnd.openxmlformats-package.relationships+xml,0-or-1-per-sheet,ALLOW_RELS
xlsx,xl/styles.xml,application/vnd.openxmlformats-officedocument.spreadsheetml.styles+xml,0-or-1,ALLOW_STRUCTURE
xlsx,xl/sharedStrings.xml,application/vnd.openxmlformats-officedocument.spreadsheetml.sharedStrings+xml,0-or-1,ALLOW_SCAN
xlsx,xl/theme/theme1.xml,application/vnd.openxmlformats-officedocument.theme+xml,0-or-1,ALLOW_STRUCTURE_SCAN_NAMES

xlsx,xl/tables/tableN.xml,application/vnd.openxmlformats-officedocument.spreadsheetml.table+xml,0-to-many,ALLOW_SCAN_BLOCK_NAMES
