package,source_part_pattern,target_part_pattern,type_uri,target_mode,cardinality,policy,locator_kind
docx,_rels/.rels,word/document.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/officeDocument,Internal,exactly-1,ALLOW,relationship-target
docx,_rels/.rels,docProps/core.xml,http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
docx,_rels/.rels,docProps/app.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
docx,_rels/.rels,docProps/custom.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
docx,word/document.xml,word/styles.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles,Internal,0-or-1,ALLOW,relationship-target
docx,word/document.xml,word/settings.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/settings,Internal,0-or-1,ALLOW,relationship-target
docx,word/document.xml,word/fontTable.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/fontTable,Internal,0-or-1,ALLOW,relationship-target
docx,word/document.xml,word/numbering.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/numbering,Internal,0-or-1,ALLOW,relationship-target
docx,word/document.xml,word/theme/theme1.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
docx,word/document.xml,word/headerN.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/header,Internal,0-to-many,ALLOW_SCAN_TARGET,relationship-target
docx,word/document.xml,word/footerN.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/footer,Internal,0-to-many,ALLOW_SCAN_TARGET,relationship-target
docx,word/document.xml,word/footnotes.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/footnotes,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
docx,word/document.xml,word/endnotes.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/endnotes,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
docx,word/document.xml,word/comments.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/comments,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
docx,word/<source>.xml,word/media/<opaque>.png,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,Internal,0-to-200,ALLOW_MANUAL_MEDIA,relationship-target
docx,word/<source>.xml,word/media/<opaque>.jpg,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,Internal,0-to-200,ALLOW_MANUAL_MEDIA,relationship-target
docx,word/<source>.xml,word/media/<opaque>.jpeg,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,Internal,0-to-200,ALLOW_MANUAL_MEDIA,relationship-target
docx,word/<source>.xml,<external-uri>,http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink,External,0-to-many,ALLOW_SCAN_BLOCK_NO_FETCH,relationship-target
xlsx,_rels/.rels,xl/workbook.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/officeDocument,Internal,exactly-1,ALLOW,relationship-target
xlsx,_rels/.rels,docProps/core.xml,http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
xlsx,_rels/.rels,docProps/app.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
xlsx,_rels/.rels,docProps/custom.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
xlsx,xl/workbook.xml,xl/worksheets/sheetN.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/worksheet,Internal,1-to-100,ALLOW_SCAN_TARGET,relationship-target
xlsx,xl/workbook.xml,xl/styles.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/styles,Internal,0-or-1,ALLOW,relationship-target
xlsx,xl/workbook.xml,xl/sharedStrings.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
xlsx,xl/workbook.xml,xl/theme/theme1.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/theme,Internal,0-or-1,ALLOW_SCAN_TARGET,relationship-target
xlsx,xl/worksheets/sheetN.xml,xl/tables/tableN.xml,http://schemas.openxmlformats.org/officeDocument/2006/relationships/table,Internal,0-to-many,ALLOW_SCAN_TARGET,relationship-target
xlsx,xl/worksheets/sheetN.xml,<external-uri>,http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink,External,0-to-many,ALLOW_SCAN_BLOCK_NO_FETCH,relationship-target
