package,part_pattern,namespace_uri,element_local_name,attribute_namespace_uri,attribute_local_name,node_kind,context_predicate,surface_class,locator_kind
docx,word/document.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,document,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/document.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,body,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,p,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,pPr,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,r,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,rPr,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,t,N/A,N/A,TEXT,ANY,SCAN_REWRITE,docx-text
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,instrText,N/A,N/A,TEXT,ANY,REJECT,ooxml-element-text
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tab,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,br,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN|footnotes|endnotes|comments}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,cr,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tbl,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tblPr,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tblGrid,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,gridCol,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tr,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,trPr,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tc,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
docx,word/{document|headerN|footerN}.xml,http://schemas.openxmlformats.org/wordprocessingml/2006/main,tcPr,N/A,N/A,ELEMENT,ANY,PRESERVE_VALIDATED,N/A
