clause_id,section,source_line,clause_sha256,requirement_ids,clause_text
HSD-CLAUSE-S01-001,§1,16,f5190a0153920b693df7e04b140e1085155816ed8cdf4e2a7e8e977985a3082f,HSD-REQ-FND-001,4. 本文件建立獨立的 v1.1 格式擴充契約。只有單一格式通過該格式全部 Release Gate 後，才可在產品中標示正式支援。
HSD-CLAUSE-S01-002,§1,17,13c2f014295f1565eefd7f2e547afce12755d817b7d9649e3a82b409c8142518,HSD-REQ-FND-002,5. 本文件已鎖定；production implementation 依 Phase 0 至 Phase 5 連續執行。隔離的唯讀 feasibility spike 不得直接併入正式程式。
HSD-CLAUSE-S01-003,§1,19,0ca46f15b919740a15ac11f54b8a0e39cd14ea7f17f0aced4ac3b7e80f33be9a,HSD-REQ-FND-011,7. v1.1 的 versioned supersession 必須按下表機械判定，不得用「精神相同」擴張：
HSD-CLAUSE-S01-004,§1,24,e18e9f5fbf797179494af3e2f6d05e5fc57c299042c9e4892346b6893cf9d8ec,HSD-REQ-REL-002,| `DEC-008`、`PB-SCOPE-002` | 只處理 UTF-8 MD | v1.1 Job 可處理逐格式放行的 TXT／CSV／DOCX／XLSX | 既有 MD Job 永遠走 v1.0 契約 |
HSD-CLAUSE-S01-005,§1,29,b9df03cfb430c0aac5f8e5d24a9349324d2410ed8d70cbf6c268d7a699bf32b4,HSD-REQ-FND-001,8. 既有 Markdown Job 永遠走 v1.0 snapshot、cancel、Mapping、state、Safe Package、Result 與 Restore 契約。PDF 前置轉出的外部 MD 可新增 file-selection 能力，但進入後仍建立／使用 v1.0 Markdown Job，不套用 v1.1 FormatAdapter。
HSD-CLAUSE-S01-006,§1,30,f06729ba6f28a11c1e71a983d02a1b31c35d33cfd9381c41dea63741a801d349,HSD-REQ-FND-002,9. v1.1 TXT／CSV／DOCX／XLSX Job 每個 Job 固定一份來源文件、單一格式，不允許 mixed-format Job。這讓 snapshot、decision invalidation、artifact 與 transaction scope 可機械判定。
HSD-CLAUSE-S01-007,§1,31,d7091c797bc958cb5e0b1f293f0c1008f76ab53afd824e3b9319ba290c33b698,HSD-REQ-FND-011,10. 除上表明列範圍外，v1.0 Token、Mapping、Crypto、Audit、Source Read-only、Residual、Export Guard、Result、Restore、Backup、Recovery、Network、Accessibility 與 Release Gate 全部維持控制地位。
HSD-CLAUSE-S02-001,§2,40,262be611d1874579b8ed6b74eb1c9c355014e12975f1534ff01318369007be30,HSD-REQ-FND-002,| HSD-DEC-002 | 相容識別 | Plugin ID、既有資料目錄、command ID 與 repo 可維持 `privacy-bridge` | 不破壞更新、設定、舊工作紀錄與安裝路徑 |
HSD-CLAUSE-S02-002,§2,42,7bd078789318a63aa40fc56ad6e6a573646dfe4e8052d87d85b79fbef56823ae,HSD-REQ-REL-002,| HSD-DEC-004 | 外掛數量 | 維持單一 Obsidian Desktop 外掛 | 不另做 Word／Excel 預覽外掛 |
HSD-CLAUSE-S02-003,§2,50,6701ae36cc3cf5403cc95f7c9037f0032efdaf856478fa5672256be6ad175fdc,HSD-REQ-FND-002,| HSD-DEC-012 | 失敗政策 | Fail closed | 未涵蓋結構、無法重開、可能漏掃時不得產生安全副本 |
