Requirement IDs,Acceptance ID,Automated Test,Gate,Status at spec lock
PB-ENG-001,ACC-FND-001,ci/bootstrap.test.mjs,A,NOT IMPLEMENTED
"PB-GOV-001,PB-TEST-003",ACC-FND-002,schema/all-schemas.test.ts,A,NOT IMPLEMENTED
"PB-PRD-003,PB-SHADOW-001",ACC-FND-003,integration/source-readonly.test.ts,B,NOT IMPLEMENTED
PB-ENG-003,ACC-FND-004,architecture/core-boundary.test.ts,A,NOT IMPLEMENTED
"PB-AUDIT-003,PB-ERR-001",ACC-FND-005,security/no-sensitive-logs.test.ts,B,NOT IMPLEMENTED
PB-ENG-004,ACC-FND-006,integration/desktop-only.test.ts,D,NOT IMPLEMENTED
"PB-NET-001,PB-NET-002",ACC-FND-007,security/network-deny.test.ts,B,NOT IMPLEMENTED
"PB-GOV-002,PB-TEST-002",ACC-FND-008,regression/legacy-seed.test.ts,A,NOT IMPLEMENTED
PB-STORE-001,ACC-STR-001,store/default-path.test.ts,B,NOT IMPLEMENTED
PB-STORE-001,ACC-STR-002,store/unsafe-paths.test.ts,B,NOT IMPLEMENTED
PB-STORE-002,ACC-STR-003,security/no-secure-data-in-vault.test.ts,B,NOT IMPLEMENTED
PB-DICT-001,ACC-STR-004,store/dictionary-encryption.test.ts,B,NOT IMPLEMENTED
"PB-CRYPTO-001,PB-CRYPTO-003",ACC-STR-005,crypto/key-isolation.test.ts,B,NOT IMPLEMENTED
PB-CRYPTO-002,ACC-STR-006,crypto/scrypt-vector.test.ts,B,NOT IMPLEMENTED
PB-CRYPTO-004,ACC-STR-007,crypto/aes-gcm-properties.test.ts,B,NOT IMPLEMENTED
"PB-CRYPTO-002,PB-ENG-005",ACC-STR-008,security/no-passphrase-persistence.test.ts,B,NOT IMPLEMENTED
PB-STORE-005,ACC-STR-009,integration/auto-lock.test.ts,B,NOT IMPLEMENTED
"PB-CRYPTO-006,PB-TXN-001",ACC-STR-010,recovery/passphrase-change.test.ts,B,NOT IMPLEMENTED
"PB-STORE-004,PB-AUDIT-002",ACC-STR-011,store/operator-identity.test.ts,B,NOT IMPLEMENTED
"PB-JOB-005,PB-TXN-002",ACC-STR-012,recovery/job-lock.test.ts,B,NOT IMPLEMENTED
PB-FILE-001,ACC-FIL-001,files/source-modes.test.ts,C,NOT IMPLEMENTED
PB-FILE-002,ACC-FIL-002,files/system-exclusions.test.ts,C,NOT IMPLEMENTED
PB-FILE-003,ACC-FIL-003,files/hidden-markdown.test.ts,C,NOT IMPLEMENTED
"PB-SCOPE-003,PB-FILE-006",ACC-FIL-004,files/unsupported-blocker.test.ts,C,NOT IMPLEMENTED
PB-FILE-004,ACC-FIL-005,files/symlink-junction.test.ts,B,NOT IMPLEMENTED
PB-FILE-005,ACC-FIL-006,files/nested-vault.test.ts,C,NOT IMPLEMENTED
PB-FILE-007,ACC-FIL-007,files/encoding-supported.test.ts,C,NOT IMPLEMENTED
PB-FILE-007,ACC-FIL-008,files/encoding-reject.test.ts,C,NOT IMPLEMENTED
PB-FILE-008,ACC-FIL-009,security/path-boundary.test.ts,B,NOT IMPLEMENTED
PB-FILE-008,ACC-FIL-010,files/path-collision.test.ts,C,NOT IMPLEMENTED
PB-JOB-004,ACC-FIL-011,integration/source-change.test.ts,C,NOT IMPLEMENTED
PB-JOB-004,ACC-FIL-012,files/source-disappears.test.ts,C,NOT IMPLEMENTED
PB-DET-001,ACC-DET-001,detection/detect-all.test.ts,A,NOT IMPLEMENTED
"PB-DET-002,PB-EXPORT-001",ACC-DET-002,detection/threshold-separation.test.ts,B,NOT IMPLEMENTED
PB-DET-002,ACC-DET-003,detection/rule-score-naming.test.ts,A,NOT IMPLEMENTED
PB-MD-001,ACC-DET-004,detection/unicode-offset.test.ts,A,NOT IMPLEMENTED
PB-MD-007,ACC-DET-005,detection/capture-indices.test.ts,A,NOT IMPLEMENTED
PB-DET-005,ACC-DET-006,detection/context-no-cross-line.test.ts,A,NOT IMPLEMENTED
PB-DET-005,ACC-DET-007,detection/structured-context.test.ts,A,NOT IMPLEMENTED
PB-CAND-002,ACC-DET-008,detection/overlap-risk-union.test.ts,A,NOT IMPLEMENTED
PB-CAND-003,ACC-DET-009,detection/ambiguous-identifier.test.ts,A,NOT IMPLEMENTED
PB-CAND-002,ACC-DET-010,detection/block-handling-merge.test.ts,A,NOT IMPLEMENTED
PB-DET-006,ACC-DET-011,detection/tw-phone-types.test.ts,A,NOT IMPLEMENTED
PB-DET-006,ACC-DET-012,detection/no-mobile-as-landline.test.ts,A,NOT IMPLEMENTED
PB-DET-007,ACC-DET-013,detection/passport-tiering.test.ts,A,NOT IMPLEMENTED
PB-DET-007,ACC-DET-014,detection/passport-no-context-drop.test.ts,A,NOT IMPLEMENTED
PB-DET-008,ACC-DET-015,detection/tw-address.test.ts,A,NOT IMPLEMENTED
PB-DET-009,ACC-DET-016,detection/tw-postcode.test.ts,A,NOT IMPLEMENTED
PB-DET-010,ACC-DET-017,detection/secret-block.test.ts,B,NOT IMPLEMENTED
PB-DET-003,ACC-DET-018,detection/taiwan-regression.test.ts,A,NOT IMPLEMENTED
PB-DET-003,ACC-DET-019,detection/common-identifiers.test.ts,A,NOT IMPLEMENTED
"PB-DET-001,PB-TEST-001",ACC-DET-020,fuzz/detector-fuzz.test.ts,A,NOT IMPLEMENTED
PB-CAND-004,ACC-REV-001,review/entity-level.test.ts,C,NOT IMPLEMENTED
PB-CAND-004,ACC-REV-002,review/split-invalidates.test.ts,C,NOT IMPLEMENTED
PB-CAND-004,ACC-REV-003,review/merge-severity.test.ts,C,NOT IMPLEMENTED
PB-UX-002,ACC-REV-004,ui/low-score-visibility.test.ts,C,NOT IMPLEMENTED
PB-UX-003,ACC-REV-005,review/batch-action.test.ts,C,NOT IMPLEMENTED
PB-DICT-002,ACC-REV-006,dictionary/longest-exact.test.ts,C,NOT IMPLEMENTED
PB-DICT-002,ACC-REV-007,dictionary/case-alias.test.ts,C,NOT IMPLEMENTED
PB-DICT-003,ACC-REV-008,dictionary/priority-risk.test.ts,C,NOT IMPLEMENTED
PB-DICT-004,ACC-REV-009,dictionary/scope-override.test.ts,C,NOT IMPLEMENTED
"PB-UX-002,PB-CAND-003",ACC-REV-010,review/ambiguous-gate.test.ts,C,NOT IMPLEMENTED
PB-SEC-004,ACC-REV-011,dictionary/import-limits.test.ts,B,NOT IMPLEMENTED
PB-JOB-004,ACC-REV-012,review/version-stale.test.ts,C,NOT IMPLEMENTED
PB-TOKEN-001,ACC-TOK-001,token/format-uniqueness.test.ts,B,NOT IMPLEMENTED
PB-TOKEN-002,ACC-TOK-002,token/same-job-consistency.test.ts,C,NOT IMPLEMENTED
PB-TOKEN-003,ACC-TOK-003,token/cross-job-unlinkability.test.ts,B,NOT IMPLEMENTED
PB-TOKEN-005,ACC-TOK-004,token/surface-preferred-display.test.ts,C,NOT IMPLEMENTED
PB-TOKEN-006,ACC-TOK-005,token/reverse-replacement.test.ts,C,NOT IMPLEMENTED
PB-TOKEN-006,ACC-TOK-006,token/span-hash-guard.test.ts,B,NOT IMPLEMENTED
PB-IMPORT-003,ACC-TOK-007,token/forgery.test.ts,B,NOT IMPLEMENTED
PB-IMPORT-003,ACC-TOK-008,token/cross-job-reject.test.ts,B,NOT IMPLEMENTED
PB-CRYPTO-003,ACC-TOK-009,crypto/hkdf-domain.test.ts,B,NOT IMPLEMENTED
PB-CRYPTO-004,ACC-TOK-010,crypto/iv-uniqueness.test.ts,B,NOT IMPLEMENTED
PB-CRYPTO-004,ACC-TOK-011,crypto/envelope-tamper.test.ts,B,NOT IMPLEMENTED
PB-CRYPTO-002,ACC-TOK-012,crypto/passphrase-policy.test.ts,B,NOT IMPLEMENTED
"PB-TOKEN-002,PB-STORE-002",ACC-TOK-013,mapping/persistence-roundtrip.test.ts,C,NOT IMPLEMENTED
PB-DET-010,ACC-TOK-014,handling/no-reversible-secret.test.ts,B,NOT IMPLEMENTED
PB-BACKUP-002,ACC-TOK-015,mapping/no-silent-recreate.test.ts,B,NOT IMPLEMENTED
PB-MD-002,ACC-EXP-001,golden/markdown-preservation.test.ts,C,NOT IMPLEMENTED
"PB-MD-003,PB-MD-004",ACC-EXP-002,golden/frontmatter-code.test.ts,C,NOT IMPLEMENTED
PB-SHADOW-003,ACC-EXP-003,recovery/shadow-atomic.test.ts,C,NOT IMPLEMENTED
"PB-MD-005,PB-MD-006",ACC-EXP-004,golden/wikilink-pathmap.test.ts,C,NOT IMPLEMENTED
PB-SHADOW-002,ACC-EXP-005,security/shadow-content-allowlist.test.ts,B,NOT IMPLEMENTED
PB-EXPORT-001,ACC-EXP-006,export/residual-all.test.ts,B,NOT IMPLEMENTED
PB-EXPORT-002,ACC-EXP-007,export/residual-review-gate.test.ts,B,NOT IMPLEMENTED
PB-EXPORT-003,ACC-EXP-008,export/guard-matrix.test.ts,C,NOT IMPLEMENTED
"PB-EXPORT-004,PB-EXPORT-005",ACC-EXP-009,security/safe-zip.test.ts,B,NOT IMPLEMENTED
PB-EXPORT-004,ACC-EXP-010,security/package-content.test.ts,B,NOT IMPLEMENTED
PB-EXPORT-005,ACC-EXP-011,export/package-self-validate.test.ts,C,NOT IMPLEMENTED
PB-EXPORT-005,ACC-EXP-012,export/package-size-limit.test.ts,C,NOT IMPLEMENTED
"PB-IMPORT-001,PB-IMPORT-002",ACC-IMP-001,import/valid-result.test.ts,C,NOT IMPLEMENTED
PB-IMPORT-003,ACC-IMP-002,import/malformed-token-strict.test.ts,B,NOT IMPLEMENTED
PB-IMPORT-003,ACC-IMP-003,import/unknown-forged-token.test.ts,B,NOT IMPLEMENTED
PB-IMPORT-003,ACC-IMP-004,import/cross-job-package.test.ts,B,NOT IMPLEMENTED
PB-IMPORT-003,ACC-IMP-005,import/references-paths.test.ts,B,NOT IMPLEMENTED
PB-IMPORT-004,ACC-IMP-006,security/result-rendering.test.ts,B,NOT IMPLEMENTED
"PB-RESTORE-001,PB-RESTORE-002",ACC-IMP-007,restore/end-to-end.test.ts,C,NOT IMPLEMENTED
PB-IMPORT-003,ACC-IMP-008,fuzz/result-dos.test.ts,B,NOT IMPLEMENTED
"PB-AUDIT-001,PB-AUDIT-003",ACC-OPS-001,audit/no-raw-values.test.ts,B,NOT IMPLEMENTED
PB-AUDIT-002,ACC-OPS-002,audit/hash-chain.test.ts,B,NOT IMPLEMENTED
"PB-TXN-002,PB-TXN-003",ACC-OPS-003,recovery/journal-phase-matrix.test.ts,C,NOT IMPLEMENTED
"PB-MIG-001,PB-MIG-002",ACC-OPS-004,migration/copy-on-write.test.ts,B,NOT IMPLEMENTED
"PB-BACKUP-001,PB-DELETE-001",ACC-OPS-005,backup/job-backup.test.ts,C,NOT IMPLEMENTED
"PB-NET-002,PB-TEST-004",ACC-OPS-006,release/reproducible-artifacts.test.mjs,D,NOT IMPLEMENTED
